Rider,General Classification,TT,Sprint,Climb,Age,Weight,Height,Country
Jan Nevens,553,92,1308,354,34,58,172,Belgium
Jan Nolten,766,199,664,712,23,,,Netherlands
Jan Raas,1061,1442,6846,406,28,72,176,Netherlands
Ján Svorada,921,418,7776,320,33,80,183,Czech Republic
Jan Ullrich,4907,6534,2042,3516,25,73,183,Germany
Jarlinson Pantano,977,152,234,1100,28,61,173,Colombia
Jasper Philipsen,354,152,4863,171,24,75,176,Belgium
Javier Murguialday,858,59,171,284,30,58,164,Spain
Javier Otxoa,258,1,67,165,26,,,Spain
Jean Aerts,1240,246,3735,134,26,,,Belgium
Jean Alavoine,2558,0,3572,2088,31,73,174,France
Jean Bourlès,61,7,624,111,27,,,France
Jean Brankart,2206,2508,1226,434,25,,,Belgium
Jean Dotto,3800,684,2436,938,26,,,France
Jean Dumont,857,103,410,422,25,,,France
Jean Forestier,2173,1163,2701,575,25,70,172,France
Jean Fréchaut,389,142,1706,9,24,,,France
Jean Gainche,785,242,1890,722,26,,,France
Jean Goldschmit,2206,867,1348,500,26,,,Luxembourg
Jean Graczyk,1249,366,4692,556,27,70,173,France
Jean Majerus,92,3,605,0,24,77,188,Luxembourg
Jean Malléjac,1130,120,444,259,24,,,France
Jean Robic,2812,645,2187,2423,32,,158,France
Jean Rossius,920,0,1922,1001,30,,182,Belgium
Jean Stablinski,2967,696,5086,514,29,,,France
Jean-Baptiste Dortignacq,720,0,517,1078,20,,,France
Jean-Claude Colotti,987,1250,2574,132,31,,,France
Jean-François Bernard,3218,5757,1897,1274,25,,,France
Jean-Louis Gauthier,709,192,1284,171,25,,,France
Jean-Luc Molinéris,221,56,755,4,24,,,France
Jean-Marie Goasmat,1157,282,1493,509,23,60,164,France
Jean-Patrick Nazon,194,95,3156,16,27,74,182,France
Jean-Paul Van Poppel,435,45,5920,106,26,,,Netherlands
Jean-Pierre Danguillaume,2364,1388,2766,1261,31,,,France
Jean-Pierre Genet,725,82,1084,246,34,,,France
Jean-Pierre Schmitz,984,500,808,228,24,,,Luxembourg
Jeff Pierce,415,46,533,25,29,,,US
Jelle Nijdam,1866,4888,4084,115,28,70,183,Netherlands
Jelle Vanendert,802,25,597,1516,26,62,184,Belgium
Jens Heppner,1238,340,1674,358,34,69,172,Germany
Jens Voigt,6075,5417,3954,1010,30,76,190,Germany
Jeroen Blijlevens,225,16,6046,62,27,70,172,Netherlands
Jérôme Simon,2614,1062,1206,409,28,,,France
Jesper Skibby,1561,2033,2742,744,29,70,188,Denmark
Jesús Loroño,3593,1832,3002,374,27,,,Spain
Jimmy Casper,855,189,5196,27,28,69,175,France
Jo De Roo,548,176,3597,605,28,,,Netherlands
Jo Maas,954,498,97,252,25,,,Netherlands
Joaquim Agostinho,6907,8551,2219,3523,36,,,Portugal
Joaquim Galera,2175,626,1136,840,25,,,Spain
